"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
23084647,"Cozy Little Farmette Minutes to Downtown Asheville",6898358,"Andrea",NA,28805,35.60417,-82.5082,"Private room",89,2,66,"2022-03-12",1.54,1,169,40,NA
14122794,"Liberty Cottage",85147880,"Zephyr",NA,28803,35.56272,-82.51271,"Entire home/apt",115,4,40,"2021-12-21",0.58,1,165,16,NA
483384,"Romantic, Moroccan-Influenced Cottage",467421,"Camille",NA,28803,35.56118,-82.57784,"Entire home/apt",139,1,599,"2022-03-14",6.58,1,284,88,NA
32851430,"Stylish House By Riverside Park - Entire House!",180564557,"David",NA,28804,35.63808,-82.59658,"Entire home/apt",141,1,286,"2022-03-19",8.01,8,219,83,NA
40489327,"Cozy with Nature in the Mountains",102127332,"Julia",NA,28806,35.5189,-82.60058,"Entire home/apt",115,3,12,"2022-01-02",2.24,4,344,12,NA
25418819,"Tiny Home at the Gardens—Near Center of Asheville",70881213,"Megan",NA,28803,35.5508,-82.50582,"Entire home/apt",80,2,262,"2022-03-07",5.78,1,103,78,NA
45717828,"Cute, Cozy, and Quiet",87602978,"Maggie",NA,28806,35.57658,-82.57238,"Entire home/apt",40,30,0,"",NA,2,21,0,NA
14963589,"Cozy Cottage in the Woods Near Biltmore",47114362,"Annie",NA,28803,35.54698,-82.50974,"Entire home/apt",105,2,293,"2022-03-14",4.4,1,114,58,NA
48334267,"Pet Friendly Condo Downtown",8480253,"Brian",NA,28801,35.59373,-82.55349,"Entire home/apt",139,1,16,"2022-02-13",1.38,8,320,16,NA
53671909,"Charming 3 Bedroom Dog friendly residential home",198597355,"Terri",NA,28732,35.42843,-82.50692,"Entire home/apt",125,3,4,"2022-01-23",1.41,1,276,4,NA
24312963,"The Lodges at Beaver lake unit 303",179393643,"Shaun",NA,28804,35.63781,-82.57578,"Entire home/apt",81,2,58,"2022-01-03",1.22,3,302,13,NA
40372837,"Carolina Suite - North Lodge on Oakland Bed & Breakfast",9106631,"David",NA,28801,35.57441,-82.55723,"Private room",220,1,2,"2020-07-11",0.1,3,237,0,NA
39964998,"Jupiter's Garden Studio",2237459,"Amanda",NA,28806,35.57414,-82.58745,"Entire home/apt",55,2,90,"2022-03-14",3.16,1,36,41,NA
27759123,"Malvern Phoenix -  West Asheville",167246897,"Laura",NA,28806,35.57648,-82.6085,"Entire home/apt",81,2,306,"2022-03-18",7.05,1,106,62,NA
353092,"Athena's Loft:  Find yourself here!",1788071,"Beth",NA,28806,35.58217,-82.59997,"Entire home/apt",78,2,515,"2022-02-21",4.94,1,152,13,NA
52546451,"Semi Secluded Bungalow - Asheville near Everything",16988044,"Elizabeth",NA,28804,35.62792,-82.59905,"Entire home/apt",200,2,1,"2021-10-15",0.19,1,0,1,NA
49900559,"Clean & cozy basement apartment in West Asheville",21377440,"Corey",NA,28806,35.57057,-82.58933,"Entire home/apt",72,1,83,"2022-03-05",8.38,1,36,83,NA
37487913,"Ivy Cottage - Private, Wooded, Tranquil & Serene",10239797,"Celeste",NA,28805,35.5723,-82.5206,"Entire home/apt",100,30,0,"",NA,1,0,0,NA
40698829,"Asheville Home Sweet Home",314149204,"Chris",NA,28806,35.50905,-82.6114,"Entire home/apt",275,2,9,"2020-12-29",0.33,1,4,0,NA
