"regio1","serviceCharge","heatingType","balcony","picturecount","totalRent","yearConstructed","noParkSpaces","hasKitchen","livingSpace","condition","petsAllowed","heatingCosts","typeOfFlat","floor","date"
"Bayern",120,"oil_heating",FALSE,3,1600,1970,1,FALSE,102,"modernized","no",150,"loft",2,"19-Oct"
"Sachsen",80,"central_heating",FALSE,7,400,1888,1,FALSE,32.15,"well_kept","negotiable",40,"apartment",1,"19-May"
"Sachsen",75,"gas_heating",FALSE,12,320,1912,1,TRUE,48,"fully_renovated","negotiable",45,"raised_ground_floor",3,"19-May"
"Berlin",218,"oil_heating",TRUE,27,1623,1975,1,TRUE,94.4,"first_time_use_after_refurbishment","negotiable",94,"apartment",1,"19-May"
"Sachsen",200,"gas_heating",TRUE,12,1130,1903,1,FALSE,133,"first_time_use_after_refurbishment","negotiable",200,"apartment",1,"20-Feb"
"Niedersachsen",150,"central_heating",TRUE,15,675,1996,1,TRUE,135,"fully_renovated","negotiable",150,"apartment",1,"19-May"
"Nordrhein_Westfalen",121,"gas_heating",TRUE,15,1142,1964,1,FALSE,125,"first_time_use_after_refurbishment","yes",121,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",50,"district_heating",TRUE,22,900,2020,1,FALSE,51.06,"mint_condition","negotiable",30,"apartment",4,"20-Feb"
"Schleswig_Holstein",114,"district_heating",TRUE,4,790,1981,1,TRUE,86.4,"well_kept","negotiable",80,"apartment",1,"18-Sep"
"Sachsen",68.7,"central_heating",FALSE,6,462.8,1933,1,FALSE,49,"refurbished","negotiable",44.1,"apartment",2,"20-Feb"
"Bayern",80,"floor_heating",TRUE,4,820,2014,1,FALSE,48.44,"refurbished","no",60,"apartment",1,"19-May"
"Nordrhein_Westfalen",270,"central_heating",TRUE,11,1220,1876,1,FALSE,100,"first_time_use_after_refurbishment","no",100,"loft",1,"19-Oct"
"Schleswig_Holstein",101,"central_heating",TRUE,2,660,1989,1,TRUE,52.74,"fully_renovated","no",70,"ground_floor",0,"20-Feb"
"Berlin",175,"central_heating",TRUE,15,1155,1959,1,FALSE,72.77,"first_time_use_after_refurbishment","negotiable",55,"apartment",3,"19-May"
"Sachsen",71,"district_heating",FALSE,6,380,1987,1,FALSE,59,"well_kept","no",60,"apartment",3,"20-Feb"
"Schleswig_Holstein",90,"central_heating",TRUE,2,489.64,1992,1,FALSE,53.57,"well_kept","negotiable",85,"apartment",1,"19-Oct"
"Niedersachsen",100,"floor_heating",TRUE,3,930,2019,1,FALSE,59.95,"first_time_use","negotiable",50,"apartment",1,"18-Sep"
"Berlin",110,"central_heating",TRUE,15,1216.64,1996,0,FALSE,98.19,"well_kept","negotiable",150,"apartment",1,"19-Oct"
"Sachsen_Anhalt",40,"central_heating",TRUE,11,308,1906,1,TRUE,36.5,"refurbished","no",40,"other",1,"18-Sep"
"Sachsen",70,"central_heating",FALSE,11,424,1986,1,TRUE,60,"modernized","negotiable",69,"apartment",2,"18-Sep"
"Niedersachsen",120,"central_heating",TRUE,7,740,1992,1,FALSE,92,"well_kept","negotiable",120,"ground_floor",0,"19-Oct"
"Sachsen_Anhalt",146,"gas_heating",FALSE,11,436,1972,0,FALSE,62.15,"modernized","negotiable",73,"apartment",4,"19-May"
"Niedersachsen",190,"central_heating",TRUE,59,1469,2019,1,TRUE,100,"first_time_use","negotiable",80,"penthouse",4,"19-Oct"
"Nordrhein_Westfalen",80,"central_heating",TRUE,5,800,1968,1,FALSE,80,"well_kept","no",80,"apartment",2,"18-Sep"
"Bayern",180,"floor_heating",TRUE,18,1520,2019,1,TRUE,101,"first_time_use","negotiable",70,"apartment",1,"19-Oct"
"Sachsen",60,"central_heating",FALSE,2,480,1925,1,FALSE,75,"fully_renovated","yes",70,"roof_storey",3,"19-Oct"
"Bayern",30,"central_heating",TRUE,43,359,2000,1,FALSE,57,"mint_condition","negotiable",40,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",150,"central_heating",TRUE,10,1200,1991,1,FALSE,95,"well_kept","negotiable",100,"maisonette",0,"19-May"
"Berlin",65,"central_heating",FALSE,9,537,1959,1,FALSE,32.52,"first_time_use_after_refurbishment","negotiable",22,"apartment",1,"19-Oct"
"Schleswig_Holstein",110,"district_heating",TRUE,15,890,1999,1,TRUE,74.88,"fully_renovated","yes",90,"maisonette",3,"20-Feb"
"Berlin",125,"oil_heating",TRUE,16,1625,1968,1,TRUE,95,"first_time_use_after_refurbishment","negotiable",100,"apartment",2,"18-Sep"
"Nordrhein_Westfalen",130,"self_contained_central_heating",TRUE,18,955,1960,1,FALSE,118,"fully_renovated","negotiable",100,"apartment",1,"20-Feb"
"Sachsen_Anhalt",85,"district_heating",TRUE,29,499,1982,1,FALSE,70,"fully_renovated","yes",85,"apartment",3,"19-May"
"Bayern",90,"floor_heating",TRUE,11,1310,2018,1,TRUE,61.76,"first_time_use","negotiable",50,"ground_floor",0,"18-Sep"
"Niedersachsen",100,"floor_heating",TRUE,3,1080,2014,1,FALSE,88.53,"mint_condition","no",90,"apartment",1,"19-May"
"Schleswig_Holstein",75,"gas_heating",FALSE,4,445,1938,1,TRUE,38.14,"well_kept","negotiable",55,"apartment",1,"19-Oct"
"Schleswig_Holstein",120,"combined_heat_and_power_plant",TRUE,16,1230,2017,1,TRUE,103.52,"first_time_use","negotiable",110,"penthouse",4,"19-May"
"Sachsen_Anhalt",66,"central_heating",FALSE,7,465,1987,1,FALSE,65.4,"well_kept","negotiable",69,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",150,"gas_heating",TRUE,10,500,1978,1,FALSE,40,"well_kept","negotiable",75,"apartment",1,"19-May"
"Nordrhein_Westfalen",173,"central_heating",TRUE,8,615.52,1993,1,FALSE,76.83,"well_kept","negotiable",60,"apartment",1,"18-Sep"
"Sachsen_Anhalt",55.2,"oil_heating",FALSE,6,356.75,1982,1,FALSE,46,"refurbished","negotiable",64.4,"apartment",3,"19-May"
"Nordrhein_Westfalen",260,"central_heating",TRUE,7,960,2000,1,TRUE,85.25,"well_kept","no",0,"ground_floor",0,"19-May"
"Sachsen",118.26,"central_heating",TRUE,9,1196.72,2018,1,TRUE,71.67,"first_time_use","yes",60.41,"apartment",7,"19-May"
"Sachsen_Anhalt",80,"central_heating",TRUE,13,475,1962,1,FALSE,60.37,"fully_renovated","negotiable",93,"apartment",2,"18-Sep"
"Bayern",150,"central_heating",TRUE,11,1440,2018,1,TRUE,62,"first_time_use","negotiable",95,"apartment",2,"19-May"
"Nordrhein_Westfalen",109.34,"district_heating",FALSE,5,651.07,1994,1,TRUE,50,"first_time_use_after_refurbishment","negotiable",69.58,"ground_floor",0,"18-Sep"
"Bayern",250,"floor_heating",TRUE,10,1950,2013,1,FALSE,99.4,"mint_condition","no",100,"apartment",10,"20-Feb"
"Niedersachsen",90,"central_heating",TRUE,16,630,1973,1,FALSE,93,"well_kept","negotiable",90,"roof_storey",3,"19-May"
"Nordrhein_Westfalen",60,"central_heating",TRUE,8,374.75,1964,1,FALSE,35.02,"well_kept","negotiable",50,"raised_ground_floor",0,"19-Oct"
"Niedersachsen",215,"combined_heat_and_power_plant",TRUE,13,1810,2018,1,FALSE,120,"first_time_use","negotiable",135,"apartment",2,"19-May"
"Nordrhein_Westfalen",160,"central_heating",TRUE,24,1065,2002,1,FALSE,106,"fully_renovated","negotiable",50,"apartment",0,"19-May"
"Niedersachsen",70,"gas_heating",TRUE,15,660,1992,1,FALSE,93.4,"fully_renovated","negotiable",90,"apartment",1,"20-Feb"
"Sachsen_Anhalt",196,"district_heating",TRUE,10,615.4,1987,1,FALSE,70.25,"modernized","negotiable",0,"apartment",2,"19-Oct"
"Nordrhein_Westfalen",235.2,"floor_heating",TRUE,2,1334.85,2018,1,FALSE,103,"first_time_use","negotiable",71.6,"apartment",2,"19-May"
"Schleswig_Holstein",105,"central_heating",TRUE,6,470,1988,1,TRUE,69,"well_kept","negotiable",95,"apartment",1,"19-May"
"Nordrhein_Westfalen",194,"floor_heating",TRUE,13,1763,2015,1,FALSE,107.27,"well_kept","negotiable",118,"apartment",4,"19-May"
"Nordrhein_Westfalen",180,"central_heating",TRUE,21,680,1972,1,FALSE,63,"well_kept","negotiable",50,"apartment",2,"20-Feb"
"Berlin",350,"district_heating",TRUE,15,3200,2017,1,TRUE,94,"mint_condition","negotiable",100,"apartment",4,"20-Feb"
"Berlin",110,"district_heating",TRUE,12,1000,1964,1,TRUE,66,"well_kept","no",65,"apartment",4,"19-Oct"
"Niedersachsen",150,"central_heating",TRUE,15,970,1983,1,TRUE,65.7,"fully_renovated","no",40,"apartment",3,"19-May"
"Bayern",100,"central_heating",TRUE,13,1075,1946,2,FALSE,93,"refurbished","no",100,"apartment",1,"20-Feb"
"Nordrhein_Westfalen",190,"central_heating",TRUE,9,773,1998,1,TRUE,71.62,"well_kept","negotiable",70,"apartment",1,"19-May"
"Bayern",230,"wood_pellet_heating",TRUE,7,1080,2019,1,FALSE,83,"first_time_use","no",0,"roof_storey",2,"20-Feb"
"Nordrhein_Westfalen",60,"district_heating",TRUE,22,1090,2020,1,FALSE,63.08,"first_time_use","negotiable",40,"apartment",2,"20-Feb"
"Niedersachsen",130,"combined_heat_and_power_plant",TRUE,15,1110,2018,1,FALSE,72,"mint_condition","negotiable",80,"apartment",3,"20-Feb"
"Nordrhein_Westfalen",130,"central_heating",TRUE,12,540,1959,1,FALSE,64.61,"fully_renovated","negotiable",70,"ground_floor",0,"19-May"
"Sachsen_Anhalt",105,"district_heating",TRUE,19,525,1982,1,FALSE,70,"fully_renovated","yes",125,"apartment",3,"19-Oct"
"Nordrhein_Westfalen",180,"central_heating",TRUE,13,1030,2006,1,FALSE,93.5,"mint_condition","negotiable",43.7,"apartment",2,"19-May"
"Bayern",133,"district_heating",TRUE,9,1265,2019,1,FALSE,83,"first_time_use","negotiable",92,"apartment",1,"19-Oct"
"Nordrhein_Westfalen",120,"oil_heating",TRUE,15,1150,1913,2,FALSE,190,"first_time_use_after_refurbishment","negotiable",150,"apartment",1,"19-May"
"Nordrhein_Westfalen",110,"central_heating",TRUE,4,410,1997,1,FALSE,42.4,"need_of_renovation","negotiable",60,"apartment",2,"20-Feb"
"Sachsen_Anhalt",81,"central_heating",TRUE,8,384,1988,1,FALSE,72,"negotiable","negotiable",73,"apartment",2,"20-Feb"
"Berlin",70,"district_heating",FALSE,10,800.34,1997,1,TRUE,66.48,"well_kept","no",70,"ground_floor",1,"19-Oct"
"Sachsen",55,"central_heating",TRUE,2,409,1900,1,FALSE,48.4,"refurbished","negotiable",55,"apartment",2,"20-Feb"
"Nordrhein_Westfalen",88,"floor_heating",TRUE,6,742,2018,1,FALSE,52,"first_time_use","negotiable",30,"apartment",0,"18-Sep"
"Nordrhein_Westfalen",180,"central_heating",TRUE,11,1025,2019,1,FALSE,76.1,"first_time_use","negotiable",95,"apartment",1,"19-May"
